borrower,scenario,metric,excel_value,python_value,difference,status
IntegratedCo,Accelerated Transition,revenue,10260.0,10260.0,0.0,PASS
IntegratedCo,Accelerated Transition,ebitda,2393.145,2393.145,0.0,PASS
IntegratedCo,Accelerated Transition,ebitda_margin,0.23324999999999999,0.2332499999999999,-8.326672684688674e-17,PASS
IntegratedCo,Accelerated Transition,carbon_cost,69.255,69.255,0.0,PASS
IntegratedCo,Accelerated Transition,transition_capex,513.0,513.0,0.0,PASS
IntegratedCo,Accelerated Transition,cfads,521.17325,521.17325,0.0,PASS
IntegratedCo,Accelerated Transition,debt_service,780.0,780.0,0.0,PASS
IntegratedCo,Accelerated Transition,dscr,0.6681708333333334,0.6681708333333334,0.0,PASS
IntegratedCo,Accelerated Transition,interest_coverage,7.251954545454545,7.251954545454545,0.0,PASS
IntegratedCo,Accelerated Transition,net_leverage,1.9221568271040828,1.9221568271040828,0.0,PASS
IntegratedCo,Accelerated Transition,ebitda_change,-0.20228500000000005,-0.202285,5.551115123125783e-17,PASS
IntegratedCo,Accelerated Transition,credit_stress_multiplier,5.0,5.0,0.0,PASS
IntegratedCo,Accelerated Transition,stressed_pd,0.05,0.05,0.0,PASS
IntegratedCo,Accelerated Transition,stressed_lgd,0.45,0.45,0.0,PASS
IntegratedCo,Accelerated Transition,ead,800.0,800.0,0.0,PASS
IntegratedCo,Accelerated Transition,expected_credit_loss,18.000000000000004,18.000000000000004,0.0,PASS
IntegratedCo,Accelerated Transition,ecl_rate,0.022500000000000006,0.0225,-6.938893903907228e-18,PASS
IntegratedCo,Current Policies-style,revenue,12000.0,12000.0,0.0,PASS
IntegratedCo,Current Policies-style,ebitda,3000.0,3000.0,0.0,PASS
IntegratedCo,Current Policies-style,ebitda_margin,0.25,0.25,0.0,PASS
IntegratedCo,Current Policies-style,carbon_cost,0.0,0.0,0.0,PASS
IntegratedCo,Current Policies-style,transition_capex,0.0,0.0,0.0,PASS
IntegratedCo,Current Policies-style,cfads,1550.0,1550.0,0.0,PASS
IntegratedCo,Current Policies-style,debt_service,780.0,780.0,0.0,PASS
IntegratedCo,Current Policies-style,dscr,1.9871794871794872,1.9871794871794872,0.0,PASS
IntegratedCo,Current Policies-style,interest_coverage,9.090909090909092,9.090909090909092,0.0,PASS
IntegratedCo,Current Policies-style,net_leverage,1.5333333333333334,1.5333333333333334,0.0,PASS
IntegratedCo,Current Policies-style,ebitda_change,0.0,0.0,0.0,PASS
IntegratedCo,Current Policies-style,credit_stress_multiplier,1.0,1.0,0.0,PASS
IntegratedCo,Current Policies-style,stressed_pd,0.01,0.01,0.0,PASS
IntegratedCo,Current Policies-style,stressed_lgd,0.4,0.4,0.0,PASS
IntegratedCo,Current Policies-style,ead,800.0,800.0,0.0,PASS
IntegratedCo,Current Policies-style,expected_credit_loss,3.2,3.2,0.0,PASS
IntegratedCo,Current Policies-style,ecl_rate,0.004,0.004,0.0,PASS
IntegratedCo,Severe Transition,revenue,8100.0,8100.0,0.0,PASS
IntegratedCo,Severe Transition,ebitda,1672.65,1672.65,0.0,PASS
IntegratedCo,Severe Transition,ebitda_margin,0.20650000000000002,0.2065,-2.7755575615628914e-17,PASS
IntegratedCo,Severe Transition,carbon_cost,109.35,109.35,0.0,PASS
IntegratedCo,Severe Transition,transition_capex,810.0,810.0,0.0,PASS
IntegratedCo,Severe Transition,cfads,-388.24749999999995,-388.2475,-5.684341886080802e-14,PASS
IntegratedCo,Severe Transition,debt_service,780.0,780.0,0.0,PASS
IntegratedCo,Severe Transition,dscr,-0.49775320512820503,-0.497753205128205,5.551115123125783e-17,PASS
IntegratedCo,Severe Transition,interest_coverage,5.068636363636364,5.068636363636364,0.0,PASS
