sheet_name,raw_rows,raw_columns,non_empty_rows,non_empty_columns
README,18,8,15,8
Source Register,9,9,8,9
Financial Baseline,22,7,20,7
Climate Risk Framework,17,8,14,8
Wholesale Credit Heatmap,24,10,22,10
Carbon Intensity Targets,19,12,17,12
Financed Emissions,20,11,18,11
Nature Social Risk,9,8,7,8
Risk Priority,10,14,8,14
QA Controls,10,11,9,11
Analyst Questions,13,8,12,8
Dashboard,20,10,16,9
Credit Risk Concepts,14,8,12,8
O&G Scenario Inputs,22,14,16,14
O&G Borrower Stress Test,24,22,20,22
O&G Portfolio Translation,19,11,14,11
