borrower,business_type,carbon_price,price_impact,volume_impact,revenue,ebitda,ebitda_change,carbon_cost,transition_capex,cfads,dscr,interest_coverage,net_leverage,pd_multiplier,stressed_pd,stressed_lgd,ead,expected_credit_loss,ecl_rate,baseline_pd,baseline_lgd,refined_pd_multiplier,refined_stressed_pd,refined_stressed_lgd,refined_expected_credit_loss,refined_ecl_rate,ecl_change,ecl_change_pct
UpstreamCo,Exploration & Production,0,0.0,0.0,5000.0,1700.0,-0.0285714285714285,0.0,250.0,545.0,1.1354166666666667,9.444444444444445,1.5294117647058822,1,0.015,0.45,500,3.375,0.00675,0.015,0.45,2.0,0.03,0.45,6.75,0.0135,3.375,1.0
UpstreamCo,Exploration & Production,0,0.0,-0.05,4750.0,1615.0,-0.0771428571428571,0.0,237.5,485.25,1.0109375,8.972222222222221,1.609907120743034,2,0.03,0.45,500,6.75,0.0135,0.015,0.45,2.0,0.03,0.45,6.75,0.0135,0.0,0.0
UpstreamCo,Exploration & Production,0,0.0,-0.1,4500.0,1530.0,-0.1257142857142856,0.0,225.0,425.5,0.8864583333333333,8.5,1.699346405228758,5,0.075,0.45,500,16.875,0.03375,0.015,0.45,3.0,0.045,0.45,10.125,0.02025,-6.75,-0.4
UpstreamCo,Exploration & Production,0,0.0,-0.15,4250.0,1445.0,-0.1742857142857142,0.0,212.5,365.75,0.7619791666666667,8.027777777777779,1.799307958477509,5,0.075,0.45,500,16.875,0.03375,0.015,0.45,3.0,0.045,0.45,10.125,0.02025,-6.75,-0.4
UpstreamCo,Exploration & Production,0,-0.05,0.0,4750.0,1615.0,-0.0771428571428571,0.0,237.5,485.25,1.0109375,8.972222222222221,1.609907120743034,2,0.03,0.45,500,6.75,0.0135,0.015,0.45,2.0,0.03,0.45,6.75,0.0135,0.0,0.0
UpstreamCo,Exploration & Production,0,-0.05,-0.05,4512.5,1534.25,-0.1232857142857143,0.0,225.625,428.4875,0.8926822916666666,8.52361111111111,1.6946390744663515,5,0.075,0.45,500,16.875,0.03375,0.015,0.45,3.0,0.045,0.45,10.125,0.02025,-6.75,-0.4
UpstreamCo,Exploration & Production,0,-0.05,-0.1,4275.0,1453.5,-0.1694285714285714,0.0,213.75,371.7249999999999,0.7744270833333331,8.075,1.7887856897144825,5,0.075,0.45,500,16.875,0.03375,0.015,0.45,3.0,0.045,0.45,10.125,0.02025,-6.75,-0.4
UpstreamCo,Exploration & Production,0,-0.05,-0.15,4037.5,1372.75,-0.2155714285714285,0.0,201.875,314.9625000000001,0.6561718750000002,7.626388888888889,1.894008377344746,5,0.075,0.5,500,18.75,0.0375,0.015,0.45,4.5,0.0675,0.5,16.875,0.03375,-1.875,-0.1
UpstreamCo,Exploration & Production,0,-0.1,0.0,4500.0,1530.0,-0.1257142857142856,0.0,225.0,425.5,0.8864583333333333,8.5,1.699346405228758,5,0.075,0.45,500,16.875,0.03375,0.015,0.45,3.0,0.045,0.45,10.125,0.02025,-6.75,-0.4
UpstreamCo,Exploration & Production,0,-0.1,-0.05,4275.0,1453.5,-0.1694285714285714,0.0,213.75,371.7249999999999,0.7744270833333331,8.075,1.7887856897144825,5,0.075,0.45,500,16.875,0.03375,0.015,0.45,3.0,0.045,0.45,10.125,0.02025,-6.75,-0.4
UpstreamCo,Exploration & Production,0,-0.1,-0.1,4050.0,1377.0,-0.2131428571428572,0.0,202.5,317.95000000000005,0.6623958333333334,7.65,1.888162672476398,5,0.075,0.5,500,18.75,0.0375,0.015,0.45,4.5,0.0675,0.5,16.875,0.03375,-1.875,-0.1
UpstreamCo,Exploration & Production,0,-0.1,-0.15,3825.0,1300.5,-0.2568571428571429,0.0,191.25,264.17499999999995,0.5503645833333333,7.225,1.9992310649750096,5,0.075,0.5,500,18.75,0.0375,0.015,0.45,4.5,0.0675,0.5,16.875,0.03375,-1.875,-0.1
UpstreamCo,Exploration & Production,0,-0.15,0.0,4250.0,1445.0,-0.1742857142857142,0.0,212.5,365.75,0.7619791666666667,8.027777777777779,1.799307958477509,5,0.075,0.45,500,16.875,0.03375,0.015,0.45,3.0,0.045,0.45,10.125,0.02025,-6.75,-0.4
UpstreamCo,Exploration & Production,0,-0.15,-0.05,4037.5,1372.75,-0.2155714285714285,0.0,201.875,314.9625000000001,0.6561718750000002,7.626388888888889,1.894008377344746,5,0.075,0.5,500,18.75,0.0375,0.015,0.45,4.5,0.0675,0.5,16.875,0.03375,-1.875,-0.1
UpstreamCo,Exploration & Production,0,-0.15,-0.1,3825.0,1300.5,-0.2568571428571429,0.0,191.25,264.17499999999995,0.5503645833333333,7.225,1.9992310649750096,5,0.075,0.5,500,18.75,0.0375,0.015,0.45,4.5,0.0675,0.5,16.875,0.03375,-1.875,-0.1
UpstreamCo,Exploration & Production,0,-0.15,-0.15,3612.5,1228.25,-0.2981428571428571,0.0,180.625,213.38750000000005,0.4445572916666667,6.823611111111111,2.1168328923264808,5,0.075,0.5,500,18.75,0.0375,0.015,0.45,5.5,0.08249999999999999,0.5,20.624999999999996,0.041249999999999995,1.8749999999999964,0.09999999999999981
UpstreamCo,Exploration & Production,0,-0.2,0.0,4000.0,1360.0,-0.2228571428571428,0.0,200.0,306.0,0.6375,7.555555555555555,1.911764705882353,5,0.075,0.5,500,18.75,0.0375,0.015,0.45,4.5,0.0675,0.5,16.875,0.03375,-1.875,-0.1
UpstreamCo,Exploration & Production,0,-0.2,-0.05,3800.0,1292.0,-0.2617142857142857,0.0,190.0,258.20000000000005,0.5379166666666667,7.177777777777778,2.0123839009287927,5,0.075,0.5,500,18.75,0.0375,0.015,0.45,4.5,0.0675,0.5,16.875,0.03375,-1.875,-0.1
UpstreamCo,Exploration & Production,0,-0.2,-0.1,3600.0,1224.0,-0.3005714285714286,0.0,180.0,210.4000000000001,0.4383333333333335,6.8,2.124183006535948,5,0.075,0.5,500,18.75,0.0375,0.015,0.45,5.5,0.08249999999999999,0.5,20.624999999999996,0.041249999999999995,1.8749999999999964,0.09999999999999981
UpstreamCo,Exploration & Production,0,-0.2,-0.15,3400.0,1156.0,-0.3394285714285714,0.0,170.0,162.60000000000002,0.33875,6.422222222222223,2.2491349480968856,5,0.075,0.5,500,18.75,0.0375,0.015,0.45,5.5,0.08249999999999999,0.5,20.624999999999996,0.041249999999999995,1.8749999999999964,0.09999999999999981
UpstreamCo,Exploration & Production,0,-0.25,0.0,3750.0,1275.0,-0.2714285714285714,0.0,187.5,246.25,0.5130208333333334,7.083333333333333,2.0392156862745097,5,0.075,0.5,500,18.75,0.0375,0.015,0.45,4.5,0.0675,0.5,16.875,0.03375,-1.875,-0.1
UpstreamCo,Exploration & Production,0,-0.25,-0.05,3562.5,1211.25,-0.3078571428571428,0.0,178.125,201.4375,0.4196614583333333,6.729166666666667,2.146542827657379,5,0.075,0.5,500,18.75,0.0375,0.015,0.45,5.5,0.08249999999999999,0.5,20.624999999999996,0.041249999999999995,1.8749999999999964,0.09999999999999981
UpstreamCo,Exploration & Production,0,-0.25,-0.1,3375.0,1147.5,-0.3442857142857143,0.0,168.75,156.625,0.3263020833333333,6.375,2.2657952069716774,5,0.075,0.5,500,18.75,0.0375,0.015,0.45,5.5,0.08249999999999999,0.5,20.624999999999996,0.041249999999999995,1.8749999999999964,0.09999999999999981
UpstreamCo,Exploration & Production,0,-0.25,-0.15,3187.5,1083.75,-0.3807142857142856,0.0,159.375,111.8125,0.2329427083333333,6.020833333333333,2.399077277970012,5,0.075,0.55,500,20.625,0.04125,0.015,0.45,6.0,0.09,0.55,24.75,0.0495,4.125,0.2
UpstreamCo,Exploration & Production,50,0.0,0.0,5000.0,1662.5,-0.05,37.5,250.0,513.125,1.0690104166666667,9.23611111111111,1.56390977443609,2,0.03,0.45,500,6.75,0.0135,0.015,0.45,2.0,0.03,0.45,6.75,0.0135,0.0,0.0
UpstreamCo,Exploration & Production,50,0.0,-0.05,4750.0,1579.375,-0.0975,35.625,237.5,454.96875,0.9478515625,8.774305555555555,1.6462208151958844,5,0.075,0.45,500,16.875,0.03375,0.015,0.45,3.0,0.045,0.45,10.125,0.02025,-6.75,-0.4
UpstreamCo,Exploration & Production,50,0.0,-0.1,4500.0,1496.25,-0.145,33.75,225.0,396.8125,0.8266927083333333,8.3125,1.7376775271512113,5,0.075,0.45,500,16.875,0.03375,0.015,0.45,3.0,0.045,0.45,10.125,0.02025,-6.75,-0.4
UpstreamCo,Exploration & Production,50,0.0,-0.15,4250.0,1413.125,-0.1925,31.875,212.5,338.65625,0.7055338541666667,7.850694444444445,1.8398938522777533,5,0.075,0.45,500,16.875,0.03375,0.015,0.45,4.0,0.06,0.45,13.5,0.027,-3.375,-0.2
