borrower,business_type,carbon_price,price_impact,volume_impact,revenue,ebitda,ebitda_change,carbon_cost,transition_capex,cfads,dscr,interest_coverage,net_leverage,pd_multiplier,stressed_pd,stressed_lgd,ead,expected_credit_loss,ecl_rate
UpstreamCo,Exploration & Production,0,0.0,0.0,5000.0,1700.0,-0.02857142857142858,0.0,250.0,545.0,1.1354166666666667,9.444444444444445,1.5294117647058822,1,0.015,0.45,500,3.375,0.00675
UpstreamCo,Exploration & Production,0,0.0,-0.05,4750.0,1615.0,-0.07714285714285718,0.0,237.5,485.25,1.0109375,8.972222222222221,1.609907120743034,2,0.03,0.45,500,6.75,0.0135
UpstreamCo,Exploration & Production,0,0.0,-0.1,4500.0,1530.0,-0.12571428571428567,0.0,225.0,425.5,0.8864583333333333,8.5,1.6993464052287581,5,0.075,0.45,500,16.875,0.03375
UpstreamCo,Exploration & Production,0,0.0,-0.15,4250.0,1445.0,-0.17428571428571427,0.0,212.5,365.75,0.7619791666666667,8.027777777777779,1.7993079584775087,5,0.075,0.45,500,16.875,0.03375
UpstreamCo,Exploration & Production,0,-0.05,0.0,4750.0,1615.0,-0.07714285714285718,0.0,237.5,485.25,1.0109375,8.972222222222221,1.609907120743034,2,0.03,0.45,500,6.75,0.0135
UpstreamCo,Exploration & Production,0,-0.05,-0.05,4512.5,1534.25,-0.12328571428571433,0.0,225.625,428.48749999999995,0.8926822916666666,8.52361111111111,1.6946390744663515,5,0.075,0.45,500,16.875,0.03375
UpstreamCo,Exploration & Production,0,-0.05,-0.1,4275.0,1453.5,-0.16942857142857148,0.0,213.75,371.7249999999999,0.7744270833333331,8.075,1.7887856897144823,5,0.075,0.45,500,16.875,0.03375
UpstreamCo,Exploration & Production,0,-0.05,-0.15,4037.5,1372.75,-0.21557142857142852,0.0,201.875,314.9625000000001,0.6561718750000002,7.626388888888889,1.894008377344746,5,0.075,0.5,500,18.75,0.0375
UpstreamCo,Exploration & Production,0,-0.1,0.0,4500.0,1530.0,-0.12571428571428567,0.0,225.0,425.5,0.8864583333333333,8.5,1.6993464052287581,5,0.075,0.45,500,16.875,0.03375
UpstreamCo,Exploration & Production,0,-0.1,-0.05,4275.0,1453.5,-0.16942857142857148,0.0,213.75,371.7249999999999,0.7744270833333331,8.075,1.7887856897144823,5,0.075,0.45,500,16.875,0.03375
UpstreamCo,Exploration & Production,0,-0.1,-0.1,4050.0,1377.0,-0.2131428571428572,0.0,202.5,317.95000000000005,0.6623958333333334,7.65,1.888162672476398,5,0.075,0.5,500,18.75,0.0375
UpstreamCo,Exploration & Production,0,-0.1,-0.15,3825.0,1300.5,-0.2568571428571429,0.0,191.25,264.17499999999995,0.5503645833333333,7.225,1.9992310649750096,5,0.075,0.5,500,18.75,0.0375
UpstreamCo,Exploration & Production,0,-0.15,0.0,4250.0,1445.0,-0.17428571428571427,0.0,212.5,365.75,0.7619791666666667,8.027777777777779,1.7993079584775087,5,0.075,0.45,500,16.875,0.03375
UpstreamCo,Exploration & Production,0,-0.15,-0.05,4037.5,1372.75,-0.21557142857142852,0.0,201.875,314.9625000000001,0.6561718750000002,7.626388888888889,1.894008377344746,5,0.075,0.5,500,18.75,0.0375
UpstreamCo,Exploration & Production,0,-0.15,-0.1,3825.0,1300.5,-0.2568571428571429,0.0,191.25,264.17499999999995,0.5503645833333333,7.225,1.9992310649750096,5,0.075,0.5,500,18.75,0.0375
UpstreamCo,Exploration & Production,0,-0.15,-0.15,3612.5,1228.25,-0.29814285714285715,0.0,180.625,213.38750000000005,0.44455729166666674,6.823611111111111,2.1168328923264808,5,0.075,0.5,500,18.75,0.0375
UpstreamCo,Exploration & Production,0,-0.2,0.0,4000.0,1360.0,-0.22285714285714286,0.0,200.0,306.0,0.6375,7.555555555555555,1.911764705882353,5,0.075,0.5,500,18.75,0.0375
UpstreamCo,Exploration & Production,0,-0.2,-0.05,3800.0,1292.0,-0.2617142857142857,0.0,190.0,258.20000000000005,0.5379166666666667,7.177777777777778,2.0123839009287927,5,0.075,0.5,500,18.75,0.0375
UpstreamCo,Exploration & Production,0,-0.2,-0.1,3600.0,1224.0,-0.3005714285714286,0.0,180.0,210.4000000000001,0.4383333333333335,6.8,2.1241830065359477,5,0.075,0.5,500,18.75,0.0375
UpstreamCo,Exploration & Production,0,-0.2,-0.15,3400.0,1156.0,-0.3394285714285714,0.0,170.0,162.60000000000002,0.33875000000000005,6.4222222222222225,2.2491349480968856,5,0.075,0.5,500,18.75,0.0375
UpstreamCo,Exploration & Production,0,-0.25,0.0,3750.0,1275.0,-0.27142857142857146,0.0,187.5,246.25,0.5130208333333334,7.083333333333333,2.0392156862745097,5,0.075,0.5,500,18.75,0.0375
