borrower,business_type,carbon_price,price_impact,volume_impact,revenue,ebitda,ebitda_change,carbon_cost,transition_capex,cfads,dscr,interest_coverage,net_leverage,pd_multiplier,stressed_pd,stressed_lgd,ead,expected_credit_loss,ecl_rate,baseline_pd,baseline_lgd,refined_pd_multiplier,refined_stressed_pd,refined_stressed_lgd,refined_expected_credit_loss,refined_ecl_rate,ecl_change,ecl_change_pct
ServicesCo,Oilfield Services,150,-0.25,-0.1,2362.5,436.471875,-0.37646875,12.403125,118.125,32.876093749999995,0.1027377929687499,3.11765625,3.55120246865849,5,0.125,0.6,300,22.5,0.075,0.025,0.5,7.0,0.175,0.6,31.500000000000004,0.105,9.000000000000004,0.4000000000000001
ServicesCo,Oilfield Services,150,-0.25,-0.15,2231.25,412.2234375,-0.411109375,11.7140625,111.5625,18.82742187499997,0.0588356933593749,2.944453125,3.7600967315207545,5,0.125,0.6,300,22.5,0.075,0.025,0.5,7.0,0.175,0.6,31.500000000000004,0.105,9.000000000000004,0.4000000000000001
ServicesCo,Oilfield Services,150,-0.2,-0.15,2380.0,439.705,-0.37185,12.495,119.0,34.74924999999996,0.1085914062499998,3.14075,3.5250906858007074,5,0.125,0.6,300,22.5,0.075,0.025,0.5,7.0,0.175,0.6,31.500000000000004,0.105,9.000000000000004,0.4000000000000001
ServicesCo,Oilfield Services,100,-0.25,-0.15,2231.25,416.128125,-0.40553125,7.809375,111.5625,22.14640625000004,0.0692075195312501,2.9723437500000003,3.7248143225118464,5,0.125,0.6,300,22.5,0.075,0.025,0.5,7.0,0.175,0.6,31.500000000000004,0.105,9.000000000000004,0.4000000000000001
ServicesCo,Oilfield Services,100,-0.25,-0.1,2362.5,440.60625,-0.3705625,8.26875,118.125,36.39031249999999,0.1137197265624999,3.1471875,3.5178801934834105,5,0.125,0.6,300,22.5,0.075,0.025,0.5,7.0,0.175,0.6,31.500000000000004,0.105,9.000000000000004,0.4000000000000001
ServicesCo,Oilfield Services,100,-0.2,-0.15,2380.0,443.87,-0.3659,8.33,119.0,38.289499999999975,0.1196546874999999,3.1705,3.492013427354856,5,0.125,0.6,300,22.5,0.075,0.025,0.5,7.0,0.175,0.6,31.500000000000004,0.105,9.000000000000004,0.4000000000000001
ServicesCo,Oilfield Services,0,-0.25,-0.15,2231.25,423.9375,-0.394375,0.0,111.5625,28.78437500000001,0.089951171875,3.028125,3.6561993218339968,5,0.125,0.6,300,22.5,0.075,0.025,0.5,7.0,0.175,0.6,31.500000000000004,0.105,9.000000000000004,0.4000000000000001
ServicesCo,Oilfield Services,0,-0.25,-0.1,2362.5,448.875,-0.35875,0.0,118.125,43.41874999999999,0.1356835937499999,3.20625,3.4530771372876634,5,0.125,0.6,300,22.5,0.075,0.025,0.5,7.0,0.175,0.6,31.500000000000004,0.105,9.000000000000004,0.4000000000000001
ServicesCo,Oilfield Services,50,-0.25,-0.15,2231.25,420.0328125,-0.399953125,3.9046875,111.5625,25.465390625,0.079579345703125,3.000234375,3.690187894546929,5,0.125,0.6,300,22.5,0.075,0.025,0.5,7.0,0.175,0.6,31.500000000000004,0.105,9.000000000000004,0.4000000000000001
ServicesCo,Oilfield Services,50,-0.2,-0.15,2380.0,448.035,-0.35995,4.165,119.0,41.82974999999999,0.1307179687499999,3.20025,3.459551151137746,5,0.125,0.6,300,22.5,0.075,0.025,0.5,7.0,0.175,0.6,31.500000000000004,0.105,9.000000000000004,0.4000000000000001
ServicesCo,Oilfield Services,200,-0.25,-0.1,2362.5,432.3375,-0.382375,16.5375,118.125,29.361875,0.091755859375,3.088125,3.5851620551074106,5,0.125,0.6,300,22.5,0.075,0.025,0.5,7.0,0.175,0.6,31.500000000000004,0.105,9.000000000000004,0.4000000000000001
ServicesCo,Oilfield Services,200,-0.2,-0.15,2380.0,435.54,-0.3778,16.66,119.0,31.208999999999943,0.0975281249999998,3.111,3.5588005694080915,5,0.125,0.6,300,22.5,0.075,0.025,0.5,7.0,0.175,0.6,31.500000000000004,0.105,9.000000000000004,0.4000000000000001
ServicesCo,Oilfield Services,0,-0.2,-0.15,2380.0,452.2,-0.354,0.0,119.0,45.370000000000005,0.14178125,3.23,3.427686864219372,5,0.125,0.6,300,22.5,0.075,0.025,0.5,7.0,0.175,0.6,31.500000000000004,0.105,9.000000000000004,0.4000000000000001
ServicesCo,Oilfield Services,200,-0.25,-0.15,2231.25,408.31875,-0.4166875,15.61875,111.5625,15.508437500000014,0.0484638671875,2.9165625,3.796053940701964,5,0.125,0.6,300,22.5,0.075,0.025,0.5,7.0,0.175,0.6,31.500000000000004,0.105,9.000000000000004,0.4000000000000001
ServicesCo,Oilfield Services,50,-0.25,-0.1,2362.5,444.740625,-0.36465625,4.134375,118.125,39.90453124999999,0.1247016601562499,3.17671875,3.4851774559609883,5,0.125,0.6,300,22.5,0.075,0.025,0.5,7.0,0.175,0.6,31.500000000000004,0.105,9.000000000000004,0.4000000000000001
ServicesCo,Oilfield Services,75,-0.2,-0.15,2380.0,445.9525,-0.362925,6.2475,119.0,40.05962499999998,0.1251863281249999,3.185375,3.4757064934045667,5,0.125,0.6,300,22.5,0.075,0.025,0.5,7.0,0.175,0.6,31.500000000000004,0.105,9.000000000000004,0.4000000000000001
ServicesCo,Oilfield Services,75,-0.25,-0.15,2231.25,418.08046875,-0.4027421875,5.85703125,111.5625,23.80589843749999,0.0743934326171874,2.9862890625,3.7074202596315375,5,0.125,0.6,300,22.5,0.075,0.025,0.5,7.0,0.175,0.6,31.500000000000004,0.105,9.000000000000004,0.4000000000000001
